CoordX_SM,CoordY_SM,field_4_16
192848.793,277573.941,1.457082632722976
193355.873,278787.948,1.264717386565064
193058.177,277868.294,1.2581931726242066
193353.644,278347.733,1.2277792215121663
190935.438,277785.868,1.1840029251384194
191038.404,277555.767,1.2949659645240106
191524.115,278125.548,1.2108920324973071
191811.058,277600.696,1.1912570859467337
191053.258,277172.671,1.194865777345649
192221.729,277412.928,1.4823000845123107
192878.371,279296.365,1.382317228841098
191999.239,278022.105,1.153748312696141
192593.214,277834.856,1.1477501077748662
192080.13,277707.498,1.183301047311104
191332.618,277195.818,1.1705897201112752
191817.194,277201.105,1.1630792943617883
192775.219,279629.819,1.3953684842556884
193032.347,278354.845,1.3735737251417017
192944.908,278397.54,1.4758505801238526
193206.652,278387.178,1.272865456937622
193120.476,278400.269,1.3027349802315347
193299.16,278425.191,1.1513958132957718
192518.71,278258.209,1.7815070192636897
192512.191,278201.513,1.1089537528017857
192524.265,277999.848,1.3751711981848265
192488.505,277732.831,1.3498438193198177
192534.216,278362.769,1.2349981455612824
192072.357,278161.087,1.23526988176991
192251.544,278163.472,1.1718418157643409
192407.168,278219.73,1.5120633049747683
192465.681,277859.44,1.333685650427764
192727.515,278983.516,1.5083360209183432
192677.934,278410.973,1.383921697878388
191843.928,278088.265,1.1760329697999026
191024.48,277854.968,1.2391935865634112
191453.335,278001.028,1.0227967670909337
191663.811,278057.922,1.0630827537750467
190921.598,277847.99,1.357781408032011
191939.494,278066.763,1.2812100677056355
192432.859,277555.149,1.2751846283258592
192426.106,277462.005,1.3464522468094622
192691.044,279632.073,1.33717161492148
192648.161,279317.875,1.367962119590066
192733.505,279432.071,1.283820759352432
192684.594,279158.897,1.3997995837709656
192399.168,277307.401,1.209876113402727
