CoordX_SM,CoordY_SM,field_4_16
190749.30608056363,277801.27405859163,1.2790687511313532
190749.30608056363,277851.27405859163,1.2871852748763815
190749.30608056363,277901.27405859163,1.2902587521961826
190749.30608056363,277951.27405859163,1.2889050270349764
190799.30608056363,277501.27405859163,1.261709806906671
190799.30608056363,277551.27405859163,1.2576482499022812
190799.30608056363,277601.27405859163,1.251952719943166
190799.30608056363,277651.27405859163,1.248924881753876
190799.30608056363,277701.27405859163,1.2527947480941508
190799.30608056363,277751.27405859163,1.26628199795687
190799.30608056363,277801.27405859163,1.2855833951974713
190799.30608056363,277851.27405859163,1.2988788868535357
190799.30608056363,277901.27405859163,1.3014683313734376
190799.30608056363,277951.27405859163,1.2972387409496777
190799.30608056363,278001.27405859163,1.2903269180025407
190799.30608056363,278051.27405859163,1.2827872884669402
190799.30608056363,278101.27405859163,1.275231527528997
190799.30608056363,278151.27405859163,1.2677147395231065
190799.30608056363,278201.27405859163,1.2602212423776515
190799.30608056363,278251.27405859163,1.252832731987868
190849.30608056363,277301.27405859163,1.23036576046396
190849.30608056363,277351.27405859163,1.2480868703872117
190849.30608056363,277401.27405859163,1.262130403059823
190849.30608056363,277451.27405859163,1.2690364469443596
190849.30608056363,277501.27405859163,1.268770349028636
190849.30608056363,277551.27405859163,1.2616384420483477
190849.30608056363,277601.27405859163,1.249224077918597
190849.30608056363,277651.27405859163,1.238615825966421
190849.30608056363,277701.27405859163,1.2376946710217946
190849.30608056363,277751.27405859163,1.2565031815545886
190849.30608056363,277801.27405859163,1.2969715129658503
190849.30608056363,277851.27405859163,1.318524495079456
190849.30608056363,277901.27405859163,1.316252001105527
190849.30608056363,277951.27405859163,1.3057581506812541
190849.30608056363,278001.27405859163,1.294548605214618
190849.30608056363,278051.27405859163,1.284568816102421
190849.30608056363,278101.27405859163,1.2755714870316046
190849.30608056363,278151.27405859163,1.2670195556215316
190849.30608056363,278201.27405859163,1.258649353046171
190849.30608056363,278251.27405859163,1.250485043689001
190849.30608056363,278301.27405859163,1.2426698493077522
190849.30608056363,278351.27405859163,1.235420066009865
190849.30608056363,278401.27405859163,1.2288815592481466
190849.30608056363,278451.27405859163,1.223123553874175
190849.30608056363,278501.27405859163,1.2181467324403115
190849.30608056363,278551.27405859163,1.2139043346510947
190899.30608056363,277201.27405859163,1.2012465285531488
190899.30608056363,277251.27405859163,1.2091922326113131
190899.30608056363,277301.27405859163,1.2263458171543693
190899.30608056363,277351.27405859163,1.250348632127556
190899.30608056363,277401.27405859163,1.2694306581669417
190899.30608056363,277451.27405859163,1.2784228011535328
190899.30608056363,277501.27405859163,1.2793532170683584
190899.30608056363,277551.27405859163,1.2715150700885556
190899.30608056363,277601.27405859163,1.2509342730160584
190899.30608056363,277651.27405859163,1.2266705512065657
190899.30608056363,277701.27405859163,1.2127221578639122
190899.30608056363,277751.27405859163,1.221240604462266
190899.30608056363,277801.27405859163,1.3216183631761955
190899.30608056363,277851.27405859163,1.3453652000794618
190899.30608056363,277901.27405859163,1.3303554265704094
190899.30608056363,277951.27405859163,1.310457570111066
190899.30608056363,278001.27405859163,1.2949778868031423
190899.30608056363,278051.27405859163,1.2834297005624011
190899.30608056363,278101.27405859163,1.2736557546433402
190899.30608056363,278151.27405859163,1.2644124402019268
190899.30608056363,278201.27405859163,1.2553295959451423
190899.30608056363,278251.27405859163,1.2464761193418703
190899.30608056363,278301.27405859163,1.2381491465878909
190899.30608056363,278351.27405859163,1.2305996969819821
190899.30608056363,278401.27405859163,1.2239701657193691
190899.30608056363,278451.27405859163,1.2182911937681533
190899.30608056363,278501.27405859163,1.2135133459632912
190899.30608056363,278551.27405859163,1.2095433478299538
190899.30608056363,278601.27405859163,1.2062717944817323
190899.30608056363,278651.27405859163,1.2035901872308226
190899.30608056363,278701.27405859163,1.2013995959320338
190899.30608056363,278751.27405859163,1.204559419110157
190899.30608056363,278801.27405859163,1.2036602624043242
190899.30608056363,279001.27405859163,1.2032457354111903
190899.30608056363,279051.27405859163,1.2076450548764321
190899.30608056363,279101.27405859163,1.2126066713833685
190899.30608056363,279151.27405859163,1.2140796326681198
190899.30608056363,279201.27405859163,1.219764741305975
190899.30608056363,279251.27405859163,1.2219336597565704
190899.30608056363,279301.27405859163,1.216911385119869
190899.30608056363,279351.27405859163,1.2191526508271864
190899.30608056363,279401.27405859163,1.221476243887926
190899.30608056363,279451.27405859163,1.2281227757767212
190949.30608056363,277151.27405859163,1.1959179848946484
190949.30608056363,277201.27405859163,1.1973661185430389
190949.30608056363,277251.27405859163,1.203153393963333
190949.30608056363,277301.27405859163,1.221152955522957
190949.30608056363,277351.27405859163,1.2525951871043233
190949.30608056363,277401.27405859163,1.2770832323813974
190949.30608056363,277451.27405859163,1.2871258111431598
190949.30608056363,277501.27405859163,1.2894459836751433
190949.30608056363,277551.27405859163,1.2856634260101558
190949.30608056363,277601.27405859163,1.264287378544482
190949.30608056363,277651.27405859163,1.2221465189665845
190949.30608056363,277701.27405859163,1.1955460166014957
190949.30608056363,277751.27405859163,1.1843189038853055
190949.30608056363,277801.27405859163,1.3455619737885476
190949.30608056363,277851.27405859163,1.3554614797477074
190949.30608056363,277901.27405859163,1.328847239391444
190949.30608056363,277951.27405859163,1.3032843340707714
190949.30608056363,278001.27405859163,1.2885940884462865
190949.30608056363,278051.27405859163,1.2782689423308058
190949.30608056363,278101.27405859163,1.268905016462288
190949.30608056363,278151.27405859163,1.2593971311772498
190949.30608056363,278201.27405859163,1.2497471710825558
190949.30608056363,278251.27405859163,1.2403691644260983
190949.30608056363,278301.27405859163,1.2317413710177632
190949.30608056363,278351.27405859163,1.2241606916249874
190949.30608056363,278401.27405859163,1.2177279214915424
190949.30608056363,278451.27405859163,1.2124004469977434
190949.30608056363,278501.27405859163,1.2080587269778724
190949.30608056363,278551.27405859163,1.2045563525525325
190949.30608056363,278601.27405859163,1.2017490803223105
190949.30608056363,278651.27405859163,1.1995081846714615
190949.30608056363,278701.27405859163,1.2022496847431838
190949.30608056363,278751.27405859163,1.2013957616140158
190949.30608056363,278801.27405859163,1.2008569273790857
190949.30608056363,278851.27405859163,1.2012005208415264
190949.30608056363,278901.27405859163,1.2011784853910525
190949.30608056363,278951.27405859163,1.2013159058204341
190949.30608056363,279001.27405859163,1.2054529919086316
190949.30608056363,279051.27405859163,1.2063760189025208
190949.30608056363,279101.27405859163,1.2117836791297911
190949.30608056363,279151.27405859163,1.2146807816337442
190949.30608056363,279201.27405859163,1.2195910026824959
190949.30608056363,279251.27405859163,1.2146918897766485
190949.30608056363,279301.27405859163,1.2170862423808584
190949.30608056363,279351.27405859163,1.2195766665537988
190949.30608056363,279401.27405859163,1.230709041534348
190949.30608056363,279451.27405859163,1.2294691933610107
190949.30608056363,279501.27405859163,1.247567112180177
190949.30608056363,279551.27405859163,1.2514172934224934
190949.30608056363,279601.27405859163,1.255160429049929
190999.30608056363,277101.27405859163,1.1950016607046172
190999.30608056363,277151.27405859163,1.1950126302661344
190999.30608056363,277201.27405859163,1.1954704562326952
190999.30608056363,277251.27405859163,1.1988606434983622
190999.30608056363,277301.27405859163,1.215621702079177
190999.30608056363,277351.27405859163,1.2539752132956472
190999.30608056363,277401.27405859163,1.2829431866594723
190999.30608056363,277451.27405859163,1.2921811327162478
190999.30608056363,277501.27405859163,1.2941600555813706
190999.30608056363,277551.27405859163,1.2937590244732586
190999.30608056363,277601.27405859163,1.2841168755906793
190999.30608056363,277651.27405859163,1.2361274035831524
190999.30608056363,277701.27405859163,1.201673786298449
190999.30608056363,277751.27405859163,1.1924430488616684
